roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
1.523665,-93.715385,353.55014,43,125,-0.381818,0.014708,0.087172,0.13961,0
1.569156,-93.833839,353.448975,41,124,-0.381812,0.014714,0.087182,0.13961,0
1.470639,-93.936424,353.776184,41,124,-0.381787,0.014714,0.087192,0.1396,0
1.496127,-94.057724,353.718079,41,122,-0.381775,0.014714,0.087192,0.1396,0
1.545514,-94.101089,353.952393,42,120,-0.381781,0.014664,0.087182,0.1396,0
1.558278,-94.215851,354.1987,41,118,-0.381812,0.014658,0.087172,0.139581,0
1.329196,-94.505081,354.43927,41,116,-0.381818,0.014689,0.087163,0.139552,0
1.276423,-95.214256,354.653564,41,110,-0.381825,0.014714,0.087163,0.139542,0
2.891809,-96.747055,356.771973,42,113,-0.381806,0.014727,0.087172,0.139629,0
6.044081,-97.791931,359.493622,41,110,-0.381756,0.014727,0.087231,0.139658,0
6.149327,-97.921562,0.389182,41,116,-0.38185,0.014683,0.087134,0.1396,0
5.949823,-97.268402,58.119476,41,122,-0.381794,0.014683,0.087182,0.139571,0
4.919455,-95.559616,147.589584,47,112,-0.381781,0.014683,0.087192,0.139367,0
4.224812,-94.335205,281.203094,140,103,-0.381806,0.014689,0.087202,0.139619,0
5.598741,-90.395081,326.809692,180,28,-0.381775,0.014702,0.087172,0.139658,0
3.76333,-85.014175,339.04483,207,-3,-0.380236,0.01429,0.087463,0.155121,0
2.559061,-81.380325,338.599274,211,-16,-0.361944,-0.018304,0.095713,0.250466,0
-1.052784,-78.281105,337.427582,212,-18,-0.317933,-0.104812,0.109654,0.394128,0
-3.158419,-76.800537,335.076813,213,-18,-0.256266,-0.197347,0.116236,0.537518,0
-3.470917,-77.486328,334.007416,210,-17,-0.197696,-0.283899,0.127453,0.681772,2
-3.028253,-79.972061,333.570496,208,-18,-0.143439,-0.334984,0.13706,0.844629,2
-1.749802,-82.079407,336.055237,201,-18,-0.094267,-0.35454,0.138999,0.923716,2
-0.638367,-82.963844,337.144196,202,-19,-0.050624,-0.360367,0.139464,0.916348,2
-3.445061,-85.802246,339.395477,207,-19,-0.007422,-0.362025,0.139581,0.822768,2
-2.988174,-88.37693,342.853394,212,-20,0.018447,-0.368918,0.139581,0.678815,2
-3.208679,-90.093887,345.754913,212,-19,0.023209,-0.374346,0.139581,0.534978,2
-1.667689,-91.309944,349.247955,215,-21,0.024143,-0.375493,0.139581,0.391142,2
-1.938215,-92.461067,351.351166,214,-20,0.024486,-0.375786,0.139571,0.246879,2
-1.307088,-92.769913,352.795288,214,-20,0.024486,-0.37578,0.139668,0.140027,2
-3.282374,-93.598824,354.132141,214,-20,0.024492,-0.37578,0.139619,0.083586,2
-3.145706,-94.52639,356.384766,214,-20,0.024517,-0.375798,0.139552,0.099504,2
-2.393862,-94.766815,357.274841,212,-20,0.024486,-0.375792,0.139571,0.106813,2
-2.620775,-95.282722,359.526978,213,-20,0.024567,-0.375854,0.13961,0.108423,2
-2.50823,-95.770973,50.942886,215,-21,0.024573,-0.375854,0.139619,0.10881,2
-2.56261,-95.746864,117.053116,217,-21,0.024517,-0.375842,0.139513,0.108869,2
-2.680469,-95.575699,279.607483,218,-21,0.024505,-0.375755,0.1396,0.108878,2
-2.492308,-95.845261,234.685196,217,-21,0.024505,-0.375836,0.139619,0.108878,2
-2.281503,-95.899376,0.239573,217,-21,0.024505,-0.375798,0.139532,0.108878,2
-1.864247,-95.475021,0.224639,220,-21,0.024505,-0.375792,0.1396,0.108898,2
-1.163456,-94.721962,258.356995,221,-22,0.02453,-0.375798,0.139619,0.108898,2
-0.760796,-94.297646,332.534698,227,-21,0.024548,-0.375817,0.139571,0.108898,2
-1.011156,-94.849655,351.600525,236,-21,0.024499,-0.375861,0.139532,0.108898,2
-1.664158,-94.677292,356.481354,235,-21,0.024499,-0.375823,0.13961,0.108898,2
-3.176067,-95.139992,0.443094,237,-21,0.024523,-0.375804,0.1396,0.108859,2
-3.918312,-95.424126,26.187809,239,-20,0.024555,-0.375804,0.139561,0.108859,2
-2.727331,-95.264839,11.292779,248,-19,0.024555,-0.375804,0.139639,0.108869,2
-2.271549,-94.116463,6.294815,218,13,0.024548,-0.37591,0.139561,0.108927,2
